Time,Sample,P1,P2,P3,P4,P5,P6,P7,P8,P9
260.9375,4175,17.3,3.59,3.34,4.17,54.8,0.542,1.59,0.573,10.9
261,4176,16.8,3.84,3.24,4.44,54.9,0.532,1.45,0.549,10.8
261.0625,4177,16.7,3.67,2.93,4.47,54.6,0.543,1.42,0.584,11
261.125,4178,15.3,3.63,2.81,4.19,54.6,0.534,1.5,0.58,11
261.1875,4179,17,3.95,2.87,4.31,54.8,0.538,1.48,0.573,10.9
261.25,4180,16.5,3.89,3.23,4.49,54.7,0.534,1.58,0.578,11
261.3125,4181,14.3,3.71,3.24,4.18,54.7,0.542,1.87,0.561,10.9
261.375,4182,15.7,3.73,2.83,4.16,54.6,0.553,1.85,0.589,11
261.4375,4183,17.5,3.91,2.78,4.45,54.6,0.563,1.8,0.581,11
261.5,4184,16.5,3.83,2.79,4.49,54.7,0.551,1.64,0.572,10.9
261.5625,4185,15.6,3.65,2.83,4.26,55,0.52,1.57,0.572,10.9
261.625,4186,16.4,3.88,2.76,4.31,54.3,0.544,1.65,0.575,11
261.6875,4187,15.9,3.97,2.75,4.17,54.4,0.547,1.6,0.577,11
261.75,4188,17,3.91,2.95,4.12,54.9,0.543,1.5,0.578,11
261.8125,4189,17.2,3.89,2.9,4.29,54.7,0.556,1.38,0.574,10.9
261.875,4190,17.9,3.69,2.77,4.42,54.2,0.538,1.62,0.569,11
261.9375,4191,20,3.71,2.88,4.18,54.6,0.53,1.57,0.579,10.9
262,4192,18.3,4.04,2.94,4.12,55.2,0.56,1.42,0.568,11
262.0625,4193,17.3,3.93,3.16,4.41,54.6,0.555,1.37,0.579,11
262.125,4194,16.9,3.88,2.99,4.27,54.5,0.542,1.5,0.586,10.9
262.1875,4195,15.4,3.76,2.7,4.14,54.7,0.545,1.67,0.581,11
262.25,4196,16.5,3.8,2.85,4.45,54.4,0.553,1.7,0.574,10.9
262.3125,4197,19,3.98,2.74,4.4,54.7,0.555,1.62,0.578,10.9
262.375,4198,19.3,3.75,3.39,4.16,54.9,0.541,1.91,0.572,10.9
262.4375,4199,16.9,3.91,3.5,4.27,54.5,0.552,1.91,0.576,11
262.5,4200,15.6,3.92,2.67,4.31,54.9,0.55,1.37,0.579,10.9
262.5625,4201,14.8,3.87,3.22,4.26,54.6,0.555,1.9,0.572,11
262.625,4202,14.8,3.95,3.34,4.41,54.2,0.548,1.98,0.578,11
262.6875,4203,18.1,3.87,2.71,4.31,54.5,0.537,1.51,0.57,10.9
262.75,4204,19.4,3.68,2.76,4.08,55,0.581,1.43,0.573,10.9
262.8125,4205,18.6,3.77,2.77,4.34,54.9,0.559,1.24,0.57,10.9
262.875,4206,17.8,3.78,2.99,4.13,54.3,0.561,1.36,0.572,11.1
262.9375,4207,18.4,3.68,3,4.21,54.6,0.559,1.6,0.577,11
263,4208,17.8,4.02,2.91,4.33,54.8,0.544,1.59,0.582,10.9
263.0625,4209,16,4.07,2.71,4.08,54.5,0.562,1.58,0.569,10.9
263.125,4210,16.4,3.83,2.52,4.16,54.6,0.59,1.72,0.567,10.9
263.1875,4211,15.1,3.76,2.72,4.46,54.8,0.614,1.63,0.576,10.9
263.25,4212,16.9,3.88,2.52,4.31,54.5,0.753,1.38,0.569,10.9
263.3125,4213,17.4,3.79,3.05,4.28,54.6,0.781,1.37,0.579,10.8
263.375,4214,16.8,3.8,3.33,4.37,54.9,0.607,2.13,0.571,11
263.4375,4215,16.5,3.77,3.11,4.27,54.6,0.518,2.14,0.572,11.1
263.5,4216,15.6,3.95,3.33,4.38,54.4,0.667,1.45,0.566,10.9
263.5625,4217,17.3,3.89,2.97,4.28,54.6,0.688,1.76,0.573,10.9
263.625,4218,16.4,3.84,3.06,4.31,54.5,0.551,1.8,0.589,11
263.6875,4219,15.7,3.94,3.5,4.3,54.7,0.705,1.65,0.582,11
263.75,4220,17.3,3.77,2.92,4.34,54.5,0.701,1.56,0.564,10.9
263.8125,4221,17.4,3.9,2.39,4.33,54.3,0.546,1.43,0.565,10.9
263.875,4222,16.5,3.81,2.96,4.23,54.7,0.534,1.57,0.579,11
263.9375,4223,16.2,3.92,2.93,4.21,54.8,0.553,1.53,0.578,11
