Time,Sample,P1,P2,P3,P4,P5,P6,P7,P8,P9
12.3125,197,18.6,3.95,4.21,4.35,53.7,0.546,1.29,0.574,10.6
12.375,198,16.4,3.89,4.24,4.5,54,0.543,1.7,0.638,10.6
12.4375,199,20.1,3.96,4.78,4.72,54.2,0.557,2.01,0.682,10.5
12.5,200,20.5,4.2,4.17,4.48,53.9,0.549,1.78,0.6,10.5
12.5625,201,17.7,3.86,3.82,4.3,54.4,0.546,1.75,0.664,10.5
12.625,202,18.1,3.78,4.21,4.26,54.3,0.569,1.84,0.553,10.6
12.6875,203,19.2,3.86,4.19,4.01,53.9,0.56,1.73,0.732,10.6
12.75,204,21.2,3.75,7.23,4.5,54,0.534,1.67,0.721,10.5
12.8125,205,20.3,3.81,9.28,4.62,54.2,0.562,1.49,0.607,10.5
12.875,206,17.1,3.87,6.89,4.4,54.2,0.559,1.4,0.724,10.5
12.9375,207,16.5,3.75,3.39,4.63,54.3,0.553,1.49,0.559,10.5
13,208,16.9,3.83,4,4.06,54.2,0.555,1.39,0.732,10.6
13.0625,209,16.8,3.87,4.47,4.3,53.9,0.547,1.33,0.75,10.5
13.125,210,17.1,3.77,4.39,4.72,54.1,0.555,1.46,0.546,10.5
13.1875,211,18.2,3.92,4.23,4.07,54,0.555,1.7,0.664,10.5
13.25,212,18.1,4.03,3.97,4.26,54.1,0.55,1.82,0.648,10.5
13.3125,213,16.8,3.94,3.48,4.5,54,0.557,1.75,0.609,10.5
13.375,214,15.5,3.96,3.71,4.05,54.2,0.559,2.17,0.621,10.5
13.4375,215,16.5,3.8,3.7,4.55,54.4,0.558,2.09,0.649,10.5
13.5,216,17.8,3.75,4.25,4.76,54.5,0.547,1.71,0.615,10.5
13.5625,217,16.6,3.67,4.01,4.73,53.8,0.552,1.79,0.628,10.5
13.625,218,17,3.92,3.17,4.57,53.8,0.547,1.77,0.659,10.5
13.6875,219,18.2,4.06,4.21,4.26,54.5,0.557,1.6,0.624,10.6
13.75,220,19,3.88,4.06,4.27,54.1,0.568,1.29,0.695,10.6
13.8125,221,17.9,3.74,4.04,4.4,53.8,0.544,1.45,0.64,10.5
13.875,222,15.5,3.69,3.91,4.44,54,0.568,1.72,0.624,10.5
13.9375,223,16.9,3.86,3.37,4.54,54,0.557,1.66,0.616,10.5
14,224,17.4,4.01,3.55,4.91,54,0.551,1.52,0.601,10.5
14.0625,225,16.9,3.84,4.42,4.42,53.9,0.573,1.53,0.651,10.5
14.125,226,16.1,3.77,5.68,4.25,54.2,0.56,1.6,0.572,10.5
14.1875,227,14.8,3.94,5.03,4.45,54.3,0.561,1.55,0.62,10.6
14.25,228,16.6,3.95,3.67,4.46,54,0.559,1.54,0.649,10.5
14.3125,229,17.8,3.95,4.56,4.15,54.3,0.56,1.79,0.632,10.5
14.375,230,16.3,3.8,5.06,4.28,54.3,0.559,2.03,0.609,10.5
14.4375,231,16.4,3.84,3.97,4.68,54,0.549,7.87,0.607,10.5
14.5,232,18.1,3.98,3.99,4.09,54.1,0.555,15,0.606,10.5
14.5625,233,17.2,3.82,5.72,4,54.3,0.558,16.6,0.593,10.5
14.625,234,15.1,3.7,5.96,4.51,54.4,0.557,28.3,0.61,10.5
14.6875,235,16.7,3.81,7.22,4.62,54,0.546,29.4,0.601,10.5
14.75,236,18.9,3.75,7.7,4.6,54,0.563,22.9,0.583,10.5
14.8125,237,17.4,3.8,6.63,4.39,54,0.563,26.6,0.611,10.5
14.875,238,15.3,3.86,6.04,4.44,54.1,0.559,27.5,0.608,10.5
14.9375,239,17.5,3.76,6.43,4.75,54.3,0.565,23.4,0.596,10.5
15,240,17.3,3.95,6.15,4.35,54.3,0.562,19.9,0.593,10.6
15.0625,241,14.5,3.94,8.13,4.17,54.2,0.591,20.2,0.625,10.5
15.125,242,14.7,3.68,8.31,4.41,54.1,0.562,14,0.646,10.5
15.1875,243,17.4,3.81,7.48,4.46,54,0.54,9.77,0.626,10.5
15.25,244,17,3.79,7.49,4.55,54.2,0.565,10.1,0.586,10.6
15.3125,245,17.8,3.78,5.97,4.18,54.3,0.575,7.67,0.609,10.5
15.375,246,19.1,3.85,7.6,4.24,54.1,0.578,3.73,0.658,10.5
15.4375,247,15.8,3.74,7.13,4.64,54.1,0.542,2.25,0.635,10.5
15.5,248,17.4,3.81,6.57,4.32,54.3,0.563,1.73,0.704,10.5
15.5625,249,18.3,3.91,7.55,4.4,53.9,0.612,1.61,0.861,10.5
15.625,250,16.5,3.89,7.8,4.65,53.8,0.565,1.98,0.776,10.5
15.6875,251,16.3,3.84,6.09,4.51,54.3,0.546,2.77,0.99,10.5
15.75,252,14.7,3.77,3.77,4.18,54.1,0.585,12.3,1.16,10.5
15.8125,253,13.6,3.98,4.65,4.35,54.1,0.569,14.1,0.754,10.5
15.875,254,16.5,3.91,7.14,4.9,54.4,0.554,12.7,0.961,10.5
15.9375,255,20.8,3.72,10.1,4.51,54,0.565,12.6,1.04,10.5
16,256,19.2,4.11,10.8,4.27,53.9,0.579,7.83,0.749,10.5
16.0625,257,16.4,4.04,7.87,4.49,54,0.563,3.77,0.86,10.6
16.125,258,15.4,3.68,4.37,4.53,54.2,0.566,1.54,0.666,10.6
16.1875,259,17.1,3.67,5.55,4.24,54.1,0.734,1.36,0.86,10.5
16.25,260,19.4,3.98,7.36,4.18,54.3,0.865,1.41,0.914,10.5
16.3125,261,16.2,3.76,8.16,4.36,54.3,0.771,1.97,0.754,10.6
16.375,262,13.9,3.68,10.1,4.45,54.1,0.632,2.1,0.926,10.5
16.4375,263,15.7,4.6,12,4.3,54.4,0.582,1.83,0.763,10.5
16.5,264,18.9,4.83,11.3,4.3,54.2,0.544,1.58,0.739,10.5
16.5625,265,17.5,4.23,14.9,4.46,53.9,0.567,1.31,0.695,10.5
16.625,266,16.5,3.83,13.2,4.5,53.9,0.588,1.49,0.638,10.5
16.6875,267,19,3.72,4.07,5.22,54.1,0.543,4.08,0.682,10.5
16.75,268,16.1,3.86,4.51,4.86,54.2,0.546,4.18,0.671,10.5
16.8125,269,14.2,3.79,3.3,4.1,54.2,0.575,2.06,0.649,10.2
16.875,270,15.4,3.71,4.9,4.42,54.1,0.524,1.68,0.602,10.7
16.9375,271,16.4,3.96,9.99,4.43,53.9,0.522,1.56,0.68,11
17,272,18.1,3.76,10,4.47,54,0.561,1.93,0.654,10.4
17.0625,273,18.5,4.02,7.54,4.48,54.5,0.563,1.86,0.648,10.5
17.125,274,19,4,7.97,4.4,54.2,0.558,1.63,0.755,10.5
17.1875,275,19.1,3.79,6.75,4.2,53.6,0.56,1.46,0.773,10.5
17.25,276,18.2,3.83,6.12,4.69,54,0.547,1.42,0.861,10.5
17.3125,277,17.9,3.78,4.99,4.7,54.4,0.546,1.49,0.813,10.5
17.375,278,17.8,3.85,3.01,4.32,54.1,0.565,1.5,0.614,10.5
17.4375,279,17.5,3.78,2.75,4.74,54,0.553,1.62,0.762,10.5
17.5,280,18.2,3.81,2.83,4.56,54.2,0.526,1.42,0.841,10.5
17.5625,281,19.3,3.64,3.56,4.17,54.4,0.546,1.66,0.789,10.5
17.625,282,21,3.73,3.5,4.38,54.2,0.557,1.75,0.698,10.5
17.6875,283,19.1,3.75,5.98,4.53,53.8,0.564,1.65,0.649,10.5
17.75,284,18.3,3.7,8.94,4.56,54.3,0.551,1.98,0.676,10.5
17.8125,285,18.4,4.07,9.7,4.58,54.3,0.545,2.19,0.676,10.5
17.875,286,19.1,4.01,8.09,4.25,54.1,0.561,2.02,0.731,10.6
17.9375,287,21,3.72,4.69,4.08,54.3,0.547,2.14,0.678,10.5
18,288,18.8,3.76,2.77,4.31,54.4,0.556,2.24,0.68,10.5
18.0625,289,17,3.9,3.19,4.74,54.1,0.554,1.96,0.688,10.6
18.125,290,17.1,3.94,3.98,4.37,53.8,0.559,2.12,0.639,10.5
18.1875,291,16.3,4.05,7.35,4.37,54.1,0.551,2.01,0.633,10.5
18.25,292,14.9,3.91,7.78,4.65,54.3,0.541,2.06,0.699,10.6
18.3125,293,14.9,3.62,9.96,4.3,54.2,0.547,1.9,0.678,10.5
18.375,294,16.4,3.78,9.36,5.03,54.2,0.563,1.45,0.72,10.5
18.4375,295,17.8,3.78,3.88,4.87,54.4,0.576,1.48,0.761,10.6
18.5,296,17.2,3.7,11.2,4.16,54.2,0.547,1.33,0.619,10.5
18.5625,297,16.7,3.95,17.9,4.59,54,0.63,1.32,0.632,10.4
18.625,298,17.1,4.1,19.8,4.31,54.2,0.639,1.53,0.596,10.5
18.6875,299,16.2,3.79,17.8,4.09,54.2,0.559,1.82,0.727,10.5
18.75,300,18.2,3.96,14.3,4.63,54.5,0.569,1.9,0.71,10.5
18.8125,301,18.5,4.17,15.3,4.75,54.1,0.568,1.7,0.764,10.5
18.875,302,15.9,4.19,15.4,4.18,54.1,0.551,1.69,0.761,10.5
18.9375,303,15.9,4.27,14.7,4.13,54.1,0.543,1.83,0.779,10.5
19,304,15,4.39,12.5,4.52,54,0.557,1.65,0.741,10.6
19.0625,305,16.6,4.73,12.7,4.44,53.9,0.556,1.25,0.654,10.5
19.125,306,17.2,4.59,15.9,4.58,54.2,0.555,1.28,0.711,10.5
19.1875,307,17.4,4.57,14.5,4.62,54.3,0.55,1.46,0.584,10.5
19.25,308,17.9,4.67,15.8,4.4,54.2,0.547,1.5,0.692,10.5
19.3125,309,17.1,5.41,14.6,4.42,54.5,0.563,1.46,0.732,10.6
19.375,310,18,7.41,13,4.25,54.1,0.561,1.77,0.713,10.5
19.4375,311,16.6,6.82,14.7,4.74,54.3,0.545,1.65,0.593,10.5
19.5,312,14.2,4.26,13.3,4.8,54.2,0.546,1.49,0.561,10.5
19.5625,313,16.4,3.87,13.7,4.49,54.1,0.573,1.69,0.693,10.5
19.625,314,16.2,3.87,15,4.71,54.1,0.57,1.7,0.606,10.5
19.6875,315,13.1,3.88,13.5,4.67,54.1,0.552,1.8,0.594,10.5
19.75,316,15.7,3.81,9.13,4.45,54.1,0.553,1.64,0.613,10.5
19.8125,317,17.8,3.81,3.33,4.44,54,0.548,1.73,0.628,10.5
19.875,318,18.5,3.7,4.14,4.64,54.2,0.549,1.7,0.653,10.5
19.9375,319,17.5,3.76,6.29,4.52,54.3,0.549,1.67,0.612,10.5
20,320,15.2,3.95,5.72,4.17,54.3,0.55,2.11,0.613,10.5
20.0625,321,16.9,3.83,3.76,4.53,54.1,0.569,2.01,0.587,10.5
20.125,322,17.2,3.72,5.07,4.92,54.2,0.573,1.94,0.64,10.5
20.1875,323,15.8,3.8,4.73,4.53,54.1,0.621,1.85,0.607,10.5
20.25,324,15.5,3.97,3.56,4.08,53.8,0.577,1.9,0.551,10.6
20.3125,325,14.7,3.88,4.11,4.37,54.3,2.13,1.93,0.621,10.6
20.375,326,14.8,3.77,7.18,4.87,54.5,2.2,1.57,0.59,10.5
20.4375,327,15.3,3.74,9.24,4.7,54.1,1.64,1.71,0.618,10.5
20.5,328,13.9,3.76,7.32,4.42,54.1,2.39,1.86,0.619,10.5
20.5625,329,16.5,3.92,4.37,4.51,54.1,2.67,1.74,0.583,10.5
20.625,330,17.7,3.86,3.63,4.18,54.3,2.95,1.55,0.598,10.5
20.6875,331,16.5,3.89,2.78,4.53,54.5,3.12,1.34,0.639,10.5
20.75,332,18.9,3.79,3.2,4.61,54.2,2.63,1.37,0.637,10.5
20.8125,333,18.9,3.85,3.41,4.31,54.2,3.18,1.65,0.576,10.5
20.875,334,16.9,3.93,3.15,4.41,54,3.51,1.67,0.626,10.5
20.9375,335,16.6,3.82,3.18,4.34,54,3.89,1.63,0.602,10.5
21,336,16.8,3.88,3.03,4.51,54.3,3.69,1.55,0.645,10.5
21.0625,337,18,3.77,3.07,4.5,54.1,3.7,1.47,0.62,10.5
21.125,338,19.1,3.83,2.93,4.23,54.2,3.58,1.75,0.609,10.5
21.1875,339,17.3,3.87,2.86,4.46,54.3,2.19,1.77,0.621,10.5
21.25,340,15.7,4.07,3.45,4.68,53.9,3.12,1.51,0.569,10.5
21.3125,341,15.9,4,3.76,4.41,54.1,2.87,1.41,0.638,10.5
21.375,342,15.5,3.61,7.7,4.75,54.3,2.91,1.38,0.582,10.5
21.4375,343,14.7,3.59,13.5,5.07,54.2,2.9,1.7,0.687,10.5
21.5,344,14.9,3.78,14.7,4.94,54.1,3.07,1.78,0.646,10.5
21.5625,345,16.6,3.84,11.7,4.84,54.3,3.83,1.67,0.631,10.5
21.625,346,19.1,3.96,11.8,4.63,54.3,3.26,1.56,0.657,10.5
21.6875,347,19.4,3.96,10.2,4.26,54,5.49,1.42,0.556,10.5
21.75,348,18.8,3.75,8.78,4.99,53.8,5.26,1.5,0.602,10.5
21.8125,349,18,3.87,12.1,4.73,54.4,3.53,1.7,0.579,10.5
21.875,350,17.5,3.92,11.5,4.55,54.6,3.65,1.81,0.612,10.5
21.9375,351,19.2,3.84,8.67,5.23,54,2.85,1.6,0.587,10.5
22,352,18.9,3.75,7.23,4.39,53.9,2.51,1.41,0.62,10.5
22.0625,353,18.2,3.73,7.37,4.05,53.9,0.914,1.56,0.625,10.5
22.125,354,18.4,3.8,8.59,4.56,54.1,0.567,1.77,0.619,10.5
22.1875,355,16.4,3.93,8.8,4.54,54.4,0.759,1.8,0.624,10.5
22.25,356,15.7,3.85,6.42,4.14,54.2,1.17,1.97,0.605,10.5
22.3125,357,16.8,3.75,3.81,4.27,54,1.31,1.99,0.634,10.5
22.375,358,17.1,3.93,3.27,4.51,54.1,1.03,1.68,0.579,10.5
22.4375,359,19.5,3.84,3.45,4.63,54.2,0.865,1.59,0.605,10.5
22.5,360,19.8,3.78,3.43,4.6,54.3,0.84,1.57,0.618,10.5
22.5625,361,17.7,3.81,2.81,4.38,54.3,0.622,1.94,0.562,10.5
22.625,362,15.8,3.72,3.17,4.48,54,0.621,2.11,0.622,10.5
22.6875,363,14.2,3.99,3.19,4.41,54.1,0.633,1.79,0.612,10.5
22.75,364,14.3,3.91,2.69,4.65,54.3,0.516,1.5,0.604,10.5
22.8125,365,15.5,3.95,3.08,4.78,54.1,0.575,1.26,0.587,10.5
22.875,366,18.4,4.16,3.08,4.38,54.1,0.551,1.31,0.579,10.5
22.9375,367,18.7,3.95,2.88,4.38,54.1,0.549,1.61,0.671,10.6
23,368,14.3,4.01,3.15,5,54,0.576,1.62,0.588,10.5
23.0625,369,18.5,3.95,3.44,4.66,54.4,0.559,1.66,0.636,10.5
23.125,370,23.2,3.85,3.86,4.35,54.4,0.549,1.56,0.637,10.6
23.1875,371,20.4,3.97,3.83,4.84,54.2,0.544,1.4,0.634,10.5
23.25,372,17.5,4.29,5.26,4.71,54.3,0.569,1.81,0.677,10.5
23.3125,373,17,4.75,5.26,5.02,54,0.565,2.01,0.585,10.5
23.375,374,16.3,4.65,3.71,4.82,53.9,0.565,1.94,0.628,10.5
23.4375,375,16.4,4.28,5.71,4.37,54.4,0.56,1.82,0.588,10.5
23.5,376,17.1,4.29,6.48,4.4,54.2,0.546,1.66,0.588,10.5
23.5625,377,19,4.55,6.62,4.28,54,0.553,1.46,0.615,10.5
23.625,378,18.9,4.53,6.98,4.58,54.3,0.572,1.43,0.565,10.5
23.6875,379,18,4.22,7.83,4.49,54.2,0.569,1.4,0.668,10.5
23.75,380,16.8,4.13,8.48,4.53,54.1,0.541,1.55,0.631,10.5
23.8125,381,19.8,4,9.18,4.86,54.2,0.544,1.62,0.616,10.5
23.875,382,20.7,3.92,9.29,4.47,53.9,0.551,1.39,0.613,10.5
23.9375,383,16.3,3.92,7.98,4.22,54.1,0.56,1.38,0.621,10.5
24,384,18,3.85,8.15,4.61,54.4,0.566,1.67,0.643,10.5
24.0625,385,20,3.98,12,4.47,54.2,0.556,1.66,0.568,10.5
24.125,386,18.6,4.05,11.9,4.48,54.3,0.558,1.33,0.614,10.5
24.1875,387,18.7,3.92,9.6,4.48,54.5,0.567,1.32,0.58,10.5
24.25,388,18.8,3.98,9.61,4.14,54.3,0.554,1.49,0.605,10.5
24.3125,389,15.9,3.92,8.36,4.61,54.1,0.555,1.8,0.579,10.5
24.375,390,14.4,3.76,11,4.71,54,0.552,1.81,0.604,10.5
24.4375,391,16.4,3.94,11.2,4.7,54.5,0.563,1.51,0.661,10.5
24.5,392,18,4.07,11.3,4.43,54.3,0.562,1.5,0.575,10.5
24.5625,393,18.3,4.14,10.3,4.16,54.1,0.547,1.45,0.624,10.5
24.625,394,17.8,3.98,11.5,4.37,54.4,0.557,1.48,0.59,10.5
24.6875,395,15.9,3.89,14,4.73,54,0.552,1.79,0.629,10.5
24.75,396,16.5,3.85,9.72,5,54.4,0.555,1.7,0.655,10.5
24.8125,397,16.3,3.92,7.18,4.64,54.5,0.545,1.31,0.592,10.4
24.875,398,14.5,4.11,7.41,4.78,53.8,0.542,1.36,0.651,10.5
24.9375,399,13.9,4.05,4.52,4.54,54.1,0.559,1.55,0.642,10.5
25,400,14.7,3.9,2.95,4.16,54.3,0.557,1.72,0.637,10.5
25.0625,401,16.2,3.97,10.7,4.57,54.5,0.551,1.65,0.599,10.5
25.125,402,17.1,4.02,12.3,4.77,54.5,0.578,1.45,0.651,10.5
25.1875,403,16.9,3.94,8.21,4.58,53.9,0.574,1.55,0.65,10.5
25.25,404,17.2,3.93,5.54,4.23,54,0.551,1.55,0.659,10.5
25.3125,405,19.5,3.83,3.68,4.48,54.2,0.543,1.47,0.654,10.5
25.375,406,17.3,4.04,3.79,4.69,54.1,0.558,1.42,0.677,10.5
25.4375,407,13.3,3.97,3.99,4.41,54.4,0.566,1.56,0.654,10.5
25.5,408,14.9,3.9,4.16,4.27,54.6,0.544,1.83,0.646,10.5
25.5625,409,14.7,3.97,4.15,4.4,54.2,0.552,1.71,0.633,10.5
25.625,410,14.8,3.82,4.18,4.34,53.8,0.574,1.49,0.565,10.5
25.6875,411,16.4,3.84,4.12,4.41,54.1,0.563,1.42,0.605,10.5
25.75,412,16.7,3.87,3.74,4.41,54.3,0.543,1.3,0.599,10.5
25.8125,413,16.7,3.87,4.58,4.46,54,0.554,1.57,0.632,10.5
25.875,414,16.9,3.96,6.53,4.81,54.2,0.541,1.5,0.592,10.5
25.9375,415,16.5,3.97,5.64,4.86,54.6,0.541,1.12,0.623,10.5
26,416,16.6,3.93,6,4.45,53.9,0.572,1.57,0.609,10.5
26.0625,417,17.9,4.03,8.91,4.31,53.8,0.572,1.81,0.595,10.5
26.125,418,19.3,4.17,9.12,4.49,54.2,0.562,1.5,0.641,10.5
26.1875,419,17.8,4.27,8.04,4.42,54.4,0.546,1.47,0.658,10.5
26.25,420,17.5,4.33,7.78,4.6,54.3,0.551,1.41,0.626,10.5
26.3125,421,16.9,4.29,6.53,4.6,53.9,0.553,1.47,0.702,10.5
26.375,422,13,4.17,5.55,4.38,54.2,0.551,1.66,0.676,10.5
26.4375,423,14.1,4.27,5.55,4.3,54.3,0.565,1.87,0.644,10.5
26.5,424,15,4.33,8.26,4.35,54.3,0.55,1.89,0.635,10.5
26.5625,425,14.5,4.54,11.7,4.61,54.3,0.547,1.58,0.591,10.6
26.625,426,14.4,7.62,11,4.42,54.1,0.555,1.43,0.634,10.5
26.6875,427,14.6,8.64,10.6,4.15,54.3,0.552,1.25,0.59,10.5
26.75,428,17.3,8.65,13,4.21,54.5,0.549,1.34,0.708,10.5
26.8125,429,18.4,8.11,14,4.39,54.1,0.559,1.39,0.641,10.5
26.875,430,17,6.71,14.6,4.63,54.1,0.566,1.56,0.61,10.5
26.9375,431,19,7.2,15.4,4.84,54.2,0.54,1.73,0.651,10.5
27,432,20,9.85,18,4.61,54.2,0.531,1.66,0.601,10.5
27.0625,433,19,9.74,18.2,4.23,54.5,0.568,1.82,0.644,10.5
