Time,Sample,P1,P2,P3,P4,P5,P6,P7,P8,P9
6.25,100,17.4,4.92,3.16,4.32,54.2,3.42,1.65,0.642,10.5
6.3125,101,17.4,5.39,3.33,4.8,53.9,3.07,1.63,0.678,10.5
6.375,102,19.8,5.4,3.4,4.65,53.9,2.76,1.61,0.711,10.5
6.4375,103,19.3,5,3.13,4.96,54.2,2.15,1.52,0.588,10.6
6.5,104,15.2,4.55,3.22,4.51,54.5,3.01,1.83,0.689,10.6
6.5625,105,13.5,4.12,4.11,4.26,53.9,3.07,2.05,0.717,10.5
6.625,106,14.5,4.45,4.18,4.71,53.9,4.79,1.78,0.651,10.5
6.6875,107,17,4.49,6.61,4.87,54.1,7.98,1.61,0.688,10.5
6.75,108,15.9,4.38,9.35,4.9,54.4,10.9,1.57,0.624,10.5
6.8125,109,17.4,4.5,9.02,4.57,54.1,8.94,1.48,0.631,10.5
6.875,110,18.5,4.44,8.22,4.26,53.9,2,1.45,0.639,10.6
6.9375,111,15.7,4.92,7.44,4.26,54.2,0.832,1.62,0.543,10.5
7,112,15.9,5.02,5.87,4.77,54,0.695,1.67,0.692,10.5
7.0625,113,18.3,4.32,7.22,5.1,54.1,0.681,1.64,0.795,10.6
7.125,114,17.5,4.3,8,4.7,53.9,0.782,1.52,0.84,10.6
7.1875,115,14.8,4.57,5.86,4.36,54.1,0.78,1.4,0.773,10.5
7.25,116,14.9,4.77,4.93,4.68,54,0.828,1.66,0.889,10.5
7.3125,117,16.9,5.44,6.55,4.4,53.6,0.848,1.7,0.765,10.5
7.375,118,19.5,5.32,8.61,4.34,54.1,0.748,1.7,0.779,10.5
7.4375,119,18.2,4.84,9.26,4.79,54.3,0.709,1.67,0.784,10.5
7.5,120,16.6,4.87,7.73,4.54,54.2,0.639,1.52,0.63,10.5
7.5625,121,16.9,4.45,8.42,4.3,54.1,0.608,1.42,0.654,10.5
7.625,122,17.3,4.03,9.59,4.35,53.8,0.6,1.25,0.662,10.6
7.6875,123,17.2,4.32,8.38,4.17,53.9,0.642,1.24,0.736,10.5
7.75,124,16.8,4.65,7.99,4.42,54.2,0.6,1.7,0.511,10.5
7.8125,125,15.7,4.64,7.76,4.91,54.4,0.578,1.76,0.803,10.5
7.875,126,15.9,4.91,7.03,4.62,54.2,0.641,1.42,0.878,10.5
7.9375,127,19.1,4.9,7.66,4.3,54,3.63,1.57,1.4,10.5
8,128,18.1,4.99,7.44,4.54,54.1,3.63,1.72,1.8,10.5
8.0625,129,15,4.82,7.68,4.48,54,0.552,1.63,1.38,10.6
8.125,130,14.9,4.59,9.54,4.77,54,0.578,1.55,1.62,10.6
8.1875,131,15.1,4.64,10.5,4.53,54.1,0.613,1.7,1.78,10.5
8.25,132,17.4,4.25,8.69,4.1,54.1,0.567,1.73,1.21,10.6
8.3125,133,18.5,4.03,6.93,4.4,54.1,0.604,1.52,2.67,10.5
8.375,134,18,4.37,5.46,4.57,54.2,0.584,1.34,6.73,10.5
8.4375,135,17.6,4.68,4.24,4.5,54.1,0.568,1.41,14.1,10.6
8.5,136,16.4,4.49,4.97,4.6,53.9,0.681,1.61,26.7,10.6
8.5625,137,16.5,4.12,3.92,4.4,54,0.768,1.6,24.1,10.5
8.625,138,16.7,4.39,3.06,4.4,54.1,0.748,1.39,7.65,10.5
8.6875,139,18.1,4.99,3.03,4.59,54,0.686,1.55,5.82,10.6
8.75,140,18.9,5.17,3.1,4.2,54.2,0.685,1.56,1.45,10.5
8.8125,141,18.6,5.26,3.04,4.49,54,0.736,1.26,1.38,10.5
8.875,142,19.2,5.26,3.63,4.7,54.1,0.712,1.22,1.38,10.6
8.9375,143,16.7,4.94,3.82,4.33,54.2,0.737,1.52,1.06,10.5
9,144,15.7,6.79,3.35,4.22,53.6,0.797,1.62,1.2,10.5
9.0625,145,17.9,7.8,3.56,4.23,54,0.748,1.71,1.07,10.6
9.125,146,17.3,6.05,4.4,4.5,54.3,0.686,1.65,1.38,10.5
9.1875,147,15.9,4.99,5.04,4.74,54.1,0.693,1.4,1.5,10.5
9.25,148,14.6,5.89,5.05,4.53,54.1,0.756,1.65,1.6,10.6
9.3125,149,14.3,5.53,8.13,4.48,54,0.75,1.68,1.45,10.6
9.375,150,15.8,4.25,12.5,4.25,54.2,0.686,1.63,0.795,10.6
9.4375,151,18.2,4.26,13.1,4.3,54.1,0.62,1.86,0.813,10.6
9.5,152,18.4,4.27,11.7,4.76,54,0.569,1.76,0.871,10.5
9.5625,153,16.9,4.34,9.88,4.49,54,0.55,1.53,0.853,10.6
9.625,154,16,7.17,8.05,4.53,53.7,0.59,1.75,1.15,10.6
9.6875,155,15,7.35,8.89,4.49,53.9,0.605,1.74,0.998,10.5
9.75,156,15.3,5.03,7.56,4.14,54.4,0.548,1.67,0.835,10.6
9.8125,157,15.7,6.13,7.45,4.35,54.1,0.582,1.76,0.869,10.6
9.875,158,16.7,5.94,8.89,4.29,53.8,0.579,1.51,0.693,10.5
9.9375,159,16.7,4.83,7.04,4.36,54.1,0.549,1.41,0.806,10.5
10,160,15.1,4.68,8.72,4.22,54,0.558,1.55,0.926,10.6
10.0625,161,15.5,4.04,8.04,4.44,54.2,0.578,1.55,0.811,10.5
10.125,162,16.7,4,9.18,4.51,54.3,0.577,1.73,0.687,10.5
10.1875,163,17.6,4.04,11.8,4.56,53.9,0.558,1.7,0.802,10.5
10.25,164,16.8,4.06,8.83,4.67,54,0.584,1.72,0.598,10.5
10.3125,165,18.5,3.91,6.72,4.26,54.4,0.589,1.77,0.722,10.5
10.375,166,20.5,3.79,6.35,4.31,54.1,0.554,1.38,0.714,10.5
10.4375,167,18.1,4,5.71,4.54,53.9,0.57,1.29,0.585,10.5
10.5,168,17.1,4.01,5.46,4.55,53.9,0.573,1.53,0.766,10.6
10.5625,169,15.8,4.03,5.54,4.28,53.9,0.592,1.59,0.702,10.5
10.625,170,16.1,4.05,5.42,4.24,54.2,0.585,1.47,0.616,10.5
10.6875,171,18.3,3.82,4.41,4.58,53.8,0.561,1.54,0.632,10.5
10.75,172,17.1,4.06,5.19,4.71,54,0.633,1.56,0.594,10.5
10.8125,173,15.5,4.09,5.13,5.09,54.3,0.623,1.49,0.597,10.5
10.875,174,15.2,3.76,4.66,4.65,54.1,0.548,1.6,0.65,10.5
10.9375,175,15.1,3.77,4.35,4.06,53.8,0.552,1.78,0.637,10.5
11,176,16.3,4.06,4.21,4.36,54.1,0.566,1.64,0.656,10.5
11.0625,177,16.8,4,4.83,4.13,54.5,0.535,1.35,0.634,10.5
11.125,178,17.3,3.85,4.82,4.42,54.3,0.539,1.32,0.598,10.5
11.1875,179,19.5,3.82,4.36,4.61,54.2,0.562,1.23,0.685,10.5
11.25,180,17.7,4.02,4.31,4.32,54.1,0.579,1.41,0.63,10.5
11.3125,181,13.8,4.18,4.27,4.28,54.2,0.58,1.91,0.635,10.6
11.375,182,15.7,4.06,3.68,4.45,54.5,0.54,1.85,0.626,10.5
11.4375,183,16.4,4.09,4.04,4.4,54.1,0.543,1.52,0.564,10.5
11.5,184,16.5,3.98,3.73,4.27,54.1,0.575,1.44,0.62,10.6
11.5625,185,17.6,4,4.48,4.44,53.9,0.564,1.6,0.618,10.6
11.625,186,19.2,3.99,4.86,4.18,54,0.564,1.89,0.603,10.5
11.6875,187,19.3,3.88,4.4,4.22,54.3,0.57,1.69,0.633,10.5
11.75,188,18.5,4.02,4.61,4.51,53.9,0.556,1.54,0.628,10.6
11.8125,189,20.1,3.92,4.12,4.49,54,0.565,1.44,0.646,10.6
11.875,190,18.6,3.86,3.55,4.31,54,0.566,1.38,0.615,10.6
11.9375,191,16.5,3.98,3.94,4.06,53.6,0.557,1.58,0.72,10.6
12,192,17.1,3.82,4.88,4.36,54.3,0.553,1.64,0.688,10.5
12.0625,193,19.6,3.7,4.88,4.36,54.6,0.573,1.56,0.653,10.5
12.125,194,20.1,3.83,4.53,4.15,53.8,0.559,1.4,0.662,10.6
12.1875,195,17.5,4.04,3.75,4.13,54,0.541,1.4,0.59,10.5
12.25,196,18.5,3.86,3.7,4.26,54.2,0.566,1.4,0.702,10.5
