Time,Sample,P1,P2,P3,P4,P5,P6,P7,P8,P9
125,2000,19.8,3.89,3.24,4.59,54.5,0.561,2.47,0.535,10.6
125.0625,2001,18.8,3.79,3.15,5.68,54.1,0.55,1.62,15.5,10.6
125.125,2002,21.9,3.78,3.29,6.51,54.3,0.561,1.57,33.7,10.7
125.1875,2003,21.6,3.79,3.55,5.92,54.4,0.568,1.52,38,10.6
125.25,2004,18.5,3.88,3.14,5.12,54.4,0.561,1.68,39.4,10.6
125.3125,2005,18.8,3.79,2.99,5.25,54.6,0.562,1.72,65.5,10.7
125.375,2006,17.6,3.84,3.45,6.01,54.7,0.544,1.82,65.5,10.7
125.4375,2007,21.7,3.92,3.68,6.78,54.1,0.561,2.12,40.1,10.6
125.5,2008,21.6,3.83,3.96,6.94,54.3,0.568,1.87,35.5,10.7
125.5625,2009,21.6,3.88,3.76,8.67,54.7,0.549,1.38,27.8,10.7
125.625,2010,20.1,3.79,3.39,8.61,54.4,0.555,1.6,25.2,10.6
125.6875,2011,17.3,3.65,3.23,6.34,54.3,0.555,1.61,39,10.6
125.75,2012,22.6,3.75,3.29,6.22,54.5,0.556,1.38,41.8,10.6
125.8125,2013,23.1,3.87,3.1,5.52,54.5,0.555,1.37,42.3,10.6
125.875,2014,21.5,3.77,3,4.53,54.2,0.542,1.56,47.3,10.7
125.9375,2015,19.7,3.67,3.4,4.53,54.3,0.563,1.66,45.5,10.6
126,2016,20.6,3.81,3.32,5.51,54.5,0.566,1.88,30.6,10.6
126.0625,2017,21.4,3.8,3.44,6.85,54.3,0.563,1.97,14.6,10.6
126.125,2018,19.1,3.69,3.8,6.28,54.1,0.565,1.63,15.5,10.6
126.1875,2019,21.5,3.76,3.68,4.57,54.3,0.553,2.04,15.2,10.7
126.25,2020,21.2,3.79,3.19,8.46,54.6,0.543,2.66,16,10.7
126.3125,2021,21.9,3.8,3.07,11.9,54.5,0.557,2.25,17.3,10.6
126.375,2022,21.6,3.77,3.21,10.2,54.5,0.568,2.02,21.7,10.6
126.4375,2023,17.5,3.86,3.12,6.09,54.1,0.545,2.14,26.9,10.7
126.5,2024,18.1,3.8,3.2,4.39,54.4,0.549,2.41,23,10.6
126.5625,2025,19.6,3.73,3.18,4.6,54.9,0.57,2.62,14,10.6
126.625,2026,21.8,3.91,3.1,5.82,54.6,0.569,2.37,22.6,10.6
126.6875,2027,21.5,3.86,3.16,5.8,54.4,0.541,2.3,21.6,10.6
126.75,2028,20.5,3.84,3.32,5.45,54.4,0.544,1.88,18.3,10.6
126.8125,2029,20.5,3.96,3.31,5.34,54.3,0.552,1.98,38.1,10.6
126.875,2030,21.2,3.94,3.24,4.45,54.3,0.546,1.99,42.4,10.6
126.9375,2031,19.5,3.88,3.21,4.27,54.7,0.562,2.03,29.9,10.6
127,2032,17.3,3.8,3.3,4.5,54.7,0.55,1.94,22.2,10.6
127.0625,2033,17.4,3.72,3.39,4.54,54.6,0.544,1.32,28.6,10.6
127.125,2034,21.9,3.74,3.43,4.65,54.8,0.556,1.35,34.8,10.6
127.1875,2035,23.3,3.61,3.39,4.53,54.3,0.579,1.27,33.4,10.7
127.25,2036,18.7,3.75,3.2,4.39,54.2,0.536,1.14,30,10.7
127.3125,2037,19.5,4.03,3.21,4.64,54.5,0.568,1.34,30,10.6
127.375,2038,20.4,4,3.23,4.51,54.5,0.586,1.6,30,10.6
127.4375,2039,18.1,3.95,3.16,4.43,54.4,0.528,1.46,27.4,10.6
127.5,2040,16.9,3.82,3.67,4.33,54.3,0.617,1.25,26.8,10.6
127.5625,2041,17.6,3.87,3.59,4.28,54.6,0.649,1.52,38.5,10.7
127.625,2042,20.5,3.91,3.24,4.4,54.4,0.552,1.48,43.4,10.6
127.6875,2043,21.3,3.85,3.47,4.29,54.4,0.527,1.59,30.8,10.6
127.75,2044,18.4,3.77,3.12,4.27,54.5,0.566,1.97,44,10.7
127.8125,2045,17.2,3.83,3.13,4.51,54.3,0.562,1.97,74,10.7
127.875,2046,19.1,3.9,3.16,4.44,54.3,0.567,1.77,88.5,10.7
127.9375,2047,20.1,3.69,3.36,4.37,54.4,0.547,1.61,86.3,10.6
128,2048,19.7,3.67,3.38,4.69,54.6,0.552,1.52,78,10.6
128.0625,2049,19.5,3.96,3.33,4.75,54.4,0.563,1.38,71.1,10.6
128.125,2050,20.1,3.96,3.55,4.73,54.2,0.566,1.34,71.7,10.6
128.1875,2051,22.3,3.85,3.66,4.67,54.2,0.599,1.27,57.5,10.7
128.25,2052,21.8,3.73,3.7,4.65,54.5,0.635,1.45,42.6,10.7
128.3125,2053,21.8,3.71,3.43,4.54,54.5,0.847,1.7,46.3,10.6
128.375,2054,21.1,3.87,3.26,4.47,54.4,1.21,1.66,33.1,10.6
128.4375,2055,20.8,3.82,3.7,4.63,54.5,1.11,1.71,18.3,10.7
128.5,2056,22.1,3.86,3.83,4.63,54.4,0.956,1.56,8.96,10.6
128.5625,2057,19,3.79,3.42,4.38,54.5,1.04,1.32,17.3,10.6
128.625,2058,20.9,3.88,3.2,4.46,54.4,0.905,1.39,24.9,10.6
128.6875,2059,22.7,3.91,3.22,4.36,54.2,0.943,1.52,22.5,10.7
128.75,2060,21.5,3.79,3.27,4.27,54.3,0.888,1.78,13.9,10.6
128.8125,2061,20.8,3.78,3.18,4.57,54.2,0.733,1.82,26.9,10.6
128.875,2062,18.8,3.82,3.55,4.56,54.5,0.653,1.71,32.4,10.6
128.9375,2063,20.2,3.94,3.34,4.64,54.4,0.701,1.72,19.8,10.6
129,2064,21.2,3.92,3.27,4.53,54.2,0.729,1.47,12.2,10.6
129.0625,2065,18.9,3.85,3.55,4.27,54.5,0.61,1.31,14.7,10.6
129.125,2066,20.9,3.79,3.38,4.52,54.5,0.536,1.39,12.1,10.6
129.1875,2067,21,3.66,3.36,4.35,54.3,0.568,1.71,12.8,10.6
129.25,2068,17.8,3.69,3.3,4.05,54.4,0.663,1.83,12.3,10.6
129.3125,2069,19.6,4.12,3.14,4.12,54.5,0.678,1.47,8.67,10.7
129.375,2070,21.2,3.98,3.06,4.14,54.4,0.594,1.35,7.8,10.6
129.4375,2071,20.4,3.79,3.27,4.19,54.6,0.592,1.36,8.27,10.5
129.5,2072,17.3,3.81,3.5,4.41,54.2,0.577,1.38,6.54,10.6
129.5625,2073,15.2,3.86,3.37,4.54,53.9,0.61,1.43,4.61,10.6
129.625,2074,17.5,3.92,3.47,4.35,54.6,0.696,1.26,5.22,10.7
